source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.5815	0.7731	-0.1226	-0.3780
sorted_descending	mountain_pattern	-0.1405	0.2234	0.9307	-0.1064
sorted_descending	has_majority	0.0774	0.0942	-0.1844	-0.0220
sorted_ascending	sorted_descending	0.8990	-0.7119	-0.3620	0.0364
sorted_ascending	mountain_pattern	-0.2931	0.3187	0.7925	-0.1404
sorted_ascending	has_majority	0.0941	0.0936	-0.0439	0.0405
mountain_pattern	sorted_descending	0.9061	-0.7186	-0.3607	0.0298
mountain_pattern	sorted_ascending	-0.5829	0.7750	0.0276	-0.3624
mountain_pattern	has_majority	0.0827	0.0970	-0.1068	0.0307
has_majority	sorted_descending	0.8664	-0.6803	-0.2940	0.0346
has_majority	sorted_ascending	-0.4954	0.6718	-0.1070	-0.3516
has_majority	mountain_pattern	-0.2009	0.2684	0.8732	-0.1078
