pattern	pattern_idx	sample_idx
sorted_ascending	4	0
sorted_ascending	4	1
sorted_ascending	4	2
sorted_descending	3	3
sorted_descending	3	4
mountain_pattern	7	5
sorted_descending	3	6
sorted_descending	3	7
sorted_descending	3	8
has_majority	12	9
sorted_descending	3	10
has_majority	12	11
sorted_ascending	4	12
sorted_ascending	4	13
has_majority	12	14
has_majority	12	15
mountain_pattern	7	16
has_majority	12	17
sorted_ascending	4	18
mountain_pattern	7	19
mountain_pattern	7	20
has_majority	12	21
sorted_descending	3	22
mountain_pattern	7	23
sorted_descending	3	24
sorted_ascending	4	25
has_majority	12	26
sorted_ascending	4	27
sorted_ascending	4	28
sorted_ascending	4	29
has_majority	12	30
sorted_descending	3	31
sorted_descending	3	32
has_majority	12	33
mountain_pattern	7	34
sorted_descending	3	35
mountain_pattern	7	36
mountain_pattern	7	37
mountain_pattern	7	38
sorted_ascending	4	39
sorted_descending	3	40
mountain_pattern	7	41
mountain_pattern	7	42
mountain_pattern	7	43
has_majority	12	44
has_majority	12	45
has_majority	12	46
mountain_pattern	7	47
has_majority	12	48
sorted_ascending	4	49
has_majority	12	50
mountain_pattern	7	51
sorted_descending	3	52
has_majority	12	53
has_majority	12	54
sorted_descending	3	55
has_majority	12	56
mountain_pattern	7	57
mountain_pattern	7	58
has_majority	12	59
sorted_ascending	4	60
sorted_ascending	4	61
has_majority	12	62
has_majority	12	63
has_majority	12	64
has_majority	12	65
mountain_pattern	7	66
has_majority	12	67
has_majority	12	68
mountain_pattern	7	69
has_majority	12	70
sorted_ascending	4	71
has_majority	12	72
sorted_ascending	4	73
sorted_ascending	4	74
mountain_pattern	7	75
mountain_pattern	7	76
sorted_descending	3	77
mountain_pattern	7	78
has_majority	12	79
sorted_descending	3	80
mountain_pattern	7	81
mountain_pattern	7	82
mountain_pattern	7	83
has_majority	12	84
has_majority	12	85
has_majority	12	86
sorted_descending	3	87
sorted_ascending	4	88
has_majority	12	89
sorted_descending	3	90
mountain_pattern	7	91
mountain_pattern	7	92
sorted_ascending	4	93
sorted_ascending	4	94
has_majority	12	95
sorted_descending	3	96
sorted_ascending	4	97
sorted_descending	3	98
has_majority	12	99
mountain_pattern	7	100
sorted_descending	3	101
has_majority	12	102
sorted_ascending	4	103
has_majority	12	104
sorted_ascending	4	105
mountain_pattern	7	106
has_majority	12	107
sorted_ascending	4	108
mountain_pattern	7	109
has_majority	12	110
has_majority	12	111
sorted_ascending	4	112
mountain_pattern	7	113
sorted_descending	3	114
sorted_descending	3	115
sorted_descending	3	116
sorted_descending	3	117
has_majority	12	118
sorted_ascending	4	119
sorted_descending	3	120
sorted_descending	3	121
sorted_descending	3	122
mountain_pattern	7	123
has_majority	12	124
mountain_pattern	7	125
sorted_descending	3	126
mountain_pattern	7	127
sorted_descending	3	128
mountain_pattern	7	129
sorted_descending	3	130
has_majority	12	131
has_majority	12	132
sorted_ascending	4	133
sorted_descending	3	134
sorted_ascending	4	135
has_majority	12	136
has_majority	12	137
sorted_descending	3	138
sorted_ascending	4	139
sorted_ascending	4	140
sorted_ascending	4	141
sorted_descending	3	142
sorted_ascending	4	143
has_majority	12	144
sorted_ascending	4	145
sorted_ascending	4	146
has_majority	12	147
sorted_ascending	4	148
mountain_pattern	7	149
has_majority	12	150
sorted_descending	3	151
mountain_pattern	7	152
has_majority	12	153
mountain_pattern	7	154
has_majority	12	155
has_majority	12	156
sorted_ascending	4	157
sorted_descending	3	158
has_majority	12	159
sorted_ascending	4	160
mountain_pattern	7	161
has_majority	12	162
sorted_descending	3	163
sorted_descending	3	164
mountain_pattern	7	165
sorted_ascending	4	166
sorted_descending	3	167
has_majority	12	168
mountain_pattern	7	169
sorted_ascending	4	170
has_majority	12	171
sorted_descending	3	172
mountain_pattern	7	173
has_majority	12	174
sorted_ascending	4	175
has_majority	12	176
sorted_descending	3	177
sorted_ascending	4	178
mountain_pattern	7	179
sorted_descending	3	180
sorted_ascending	4	181
has_majority	12	182
mountain_pattern	7	183
sorted_descending	3	184
sorted_ascending	4	185
has_majority	12	186
has_majority	12	187
mountain_pattern	7	188
sorted_descending	3	189
sorted_ascending	4	190
mountain_pattern	7	191
sorted_ascending	4	192
mountain_pattern	7	193
sorted_descending	3	194
has_majority	12	195
sorted_descending	3	196
sorted_descending	3	197
sorted_ascending	4	198
has_majority	12	199
sorted_descending	3	200
sorted_descending	3	201
has_majority	12	202
sorted_ascending	4	203
has_majority	12	204
mountain_pattern	7	205
mountain_pattern	7	206
mountain_pattern	7	207
sorted_ascending	4	208
has_majority	12	209
has_majority	12	210
sorted_descending	3	211
sorted_descending	3	212
sorted_descending	3	213
mountain_pattern	7	214
mountain_pattern	7	215
sorted_ascending	4	216
has_majority	12	217
sorted_ascending	4	218
sorted_descending	3	219
has_majority	12	220
sorted_descending	3	221
mountain_pattern	7	222
mountain_pattern	7	223
sorted_ascending	4	224
has_majority	12	225
mountain_pattern	7	226
has_majority	12	227
mountain_pattern	7	228
has_majority	12	229
sorted_descending	3	230
has_majority	12	231
mountain_pattern	7	232
sorted_descending	3	233
sorted_ascending	4	234
mountain_pattern	7	235
sorted_descending	3	236
sorted_ascending	4	237
sorted_descending	3	238
sorted_descending	3	239
has_majority	12	240
sorted_ascending	4	241
sorted_ascending	4	242
sorted_descending	3	243
mountain_pattern	7	244
has_majority	12	245
sorted_descending	3	246
sorted_ascending	4	247
sorted_ascending	4	248
mountain_pattern	7	249
sorted_descending	3	250
mountain_pattern	7	251
has_majority	12	252
has_majority	12	253
sorted_ascending	4	254
sorted_descending	3	255
has_majority	12	256
sorted_descending	3	257
mountain_pattern	7	258
has_majority	12	259
mountain_pattern	7	260
has_majority	12	261
sorted_ascending	4	262
sorted_descending	3	263
has_majority	12	264
mountain_pattern	7	265
sorted_ascending	4	266
sorted_ascending	4	267
sorted_ascending	4	268
sorted_ascending	4	269
has_majority	12	270
sorted_ascending	4	271
has_majority	12	272
sorted_descending	3	273
sorted_descending	3	274
sorted_ascending	4	275
has_majority	12	276
has_majority	12	277
mountain_pattern	7	278
sorted_descending	3	279
has_majority	12	280
mountain_pattern	7	281
sorted_descending	3	282
mountain_pattern	7	283
sorted_ascending	4	284
sorted_ascending	4	285
has_majority	12	286
sorted_descending	3	287
mountain_pattern	7	288
has_majority	12	289
mountain_pattern	7	290
sorted_ascending	4	291
sorted_ascending	4	292
has_majority	12	293
has_majority	12	294
has_majority	12	295
sorted_descending	3	296
mountain_pattern	7	297
sorted_descending	3	298
sorted_ascending	4	299
sorted_descending	3	300
has_majority	12	301
sorted_ascending	4	302
sorted_descending	3	303
has_majority	12	304
has_majority	12	305
sorted_ascending	4	306
sorted_ascending	4	307
sorted_ascending	4	308
sorted_descending	3	309
sorted_ascending	4	310
sorted_descending	3	311
has_majority	12	312
sorted_descending	3	313
sorted_ascending	4	314
sorted_descending	3	315
sorted_ascending	4	316
mountain_pattern	7	317
sorted_descending	3	318
mountain_pattern	7	319
sorted_descending	3	320
has_majority	12	321
has_majority	12	322
has_majority	12	323
sorted_descending	3	324
sorted_descending	3	325
sorted_ascending	4	326
sorted_descending	3	327
sorted_ascending	4	328
sorted_ascending	4	329
sorted_descending	3	330
mountain_pattern	7	331
sorted_ascending	4	332
mountain_pattern	7	333
has_majority	12	334
has_majority	12	335
