pattern	pattern_idx	sample_idx
sorted_descending	3	0
mountain_pattern	7	1
sorted_descending	3	2
has_majority	12	3
has_majority	12	4
sorted_descending	3	5
has_majority	12	6
sorted_descending	3	7
sorted_descending	3	8
sorted_descending	3	9
sorted_descending	3	10
sorted_descending	3	11
sorted_ascending	4	12
has_majority	12	13
sorted_ascending	4	14
mountain_pattern	7	15
sorted_ascending	4	16
has_majority	12	17
has_majority	12	18
sorted_ascending	4	19
sorted_ascending	4	20
mountain_pattern	7	21
sorted_ascending	4	22
has_majority	12	23
sorted_ascending	4	24
sorted_descending	3	25
sorted_descending	3	26
mountain_pattern	7	27
sorted_descending	3	28
has_majority	12	29
mountain_pattern	7	30
mountain_pattern	7	31
sorted_descending	3	32
sorted_ascending	4	33
mountain_pattern	7	34
has_majority	12	35
sorted_ascending	4	36
has_majority	12	37
sorted_ascending	4	38
sorted_descending	3	39
sorted_ascending	4	40
has_majority	12	41
sorted_ascending	4	42
has_majority	12	43
sorted_ascending	4	44
has_majority	12	45
has_majority	12	46
sorted_ascending	4	47
mountain_pattern	7	48
sorted_ascending	4	49
sorted_descending	3	50
has_majority	12	51
sorted_ascending	4	52
sorted_ascending	4	53
mountain_pattern	7	54
has_majority	12	55
mountain_pattern	7	56
has_majority	12	57
mountain_pattern	7	58
has_majority	12	59
sorted_ascending	4	60
sorted_descending	3	61
sorted_ascending	4	62
mountain_pattern	7	63
has_majority	12	64
has_majority	12	65
sorted_ascending	4	66
mountain_pattern	7	67
sorted_ascending	4	68
has_majority	12	69
sorted_descending	3	70
has_majority	12	71
mountain_pattern	7	72
mountain_pattern	7	73
has_majority	12	74
has_majority	12	75
sorted_descending	3	76
sorted_ascending	4	77
has_majority	12	78
has_majority	12	79
sorted_descending	3	80
has_majority	12	81
has_majority	12	82
mountain_pattern	7	83
sorted_ascending	4	84
mountain_pattern	7	85
has_majority	12	86
sorted_ascending	4	87
has_majority	12	88
sorted_descending	3	89
sorted_ascending	4	90
has_majority	12	91
has_majority	12	92
has_majority	12	93
sorted_descending	3	94
has_majority	12	95
sorted_ascending	4	96
sorted_descending	3	97
sorted_ascending	4	98
has_majority	12	99
has_majority	12	100
has_majority	12	101
has_majority	12	102
sorted_descending	3	103
sorted_descending	3	104
sorted_ascending	4	105
sorted_ascending	4	106
sorted_ascending	4	107
sorted_descending	3	108
sorted_descending	3	109
has_majority	12	110
sorted_descending	3	111
sorted_ascending	4	112
mountain_pattern	7	113
sorted_ascending	4	114
has_majority	12	115
sorted_ascending	4	116
sorted_descending	3	117
sorted_ascending	4	118
has_majority	12	119
mountain_pattern	7	120
has_majority	12	121
sorted_ascending	4	122
sorted_descending	3	123
has_majority	12	124
mountain_pattern	7	125
sorted_ascending	4	126
