source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.0029	0.0067	0.0017	-0.0073
sorted_descending	mountain_pattern	0.0229	-0.0227	0.0002	-0.0034
sorted_descending	has_majority	0.4051	-0.2521	0.1829	-0.0860
sorted_ascending	sorted_descending	-0.0319	0.0645	-0.0000	-0.0330
sorted_ascending	mountain_pattern	-0.1314	0.1200	-0.0124	-0.0476
sorted_ascending	has_majority	-0.2888	0.1968	0.1390	-0.0820
mountain_pattern	sorted_descending	-0.0264	0.0536	0.0002	-0.0259
mountain_pattern	sorted_ascending	-0.1197	0.1597	-0.0012	-0.1310
mountain_pattern	has_majority	-0.2037	0.1428	0.1592	-0.0665
has_majority	sorted_descending	-0.0010	0.0037	0.0001	-0.0019
has_majority	sorted_ascending	-0.0087	0.0118	0.0025	-0.0065
has_majority	mountain_pattern	-0.0048	0.0048	-0.0002	-0.0019
