pattern	pattern_idx	sample_idx
mountain_pattern	7	0
has_majority	12	1
sorted_ascending	4	2
sorted_descending	3	3
sorted_descending	3	4
has_majority	12	5
has_majority	12	6
mountain_pattern	7	7
sorted_ascending	4	8
has_majority	12	9
has_majority	12	10
has_majority	12	11
mountain_pattern	7	12
sorted_descending	3	13
has_majority	12	14
sorted_descending	3	15
sorted_descending	3	16
sorted_ascending	4	17
sorted_descending	3	18
mountain_pattern	7	19
has_majority	12	20
sorted_ascending	4	21
has_majority	12	22
sorted_ascending	4	23
has_majority	12	24
has_majority	12	25
sorted_descending	3	26
sorted_ascending	4	27
sorted_ascending	4	28
has_majority	12	29
mountain_pattern	7	30
sorted_descending	3	31
has_majority	12	32
has_majority	12	33
mountain_pattern	7	34
mountain_pattern	7	35
sorted_descending	3	36
has_majority	12	37
sorted_ascending	4	38
sorted_ascending	4	39
sorted_ascending	4	40
has_majority	12	41
has_majority	12	42
sorted_descending	3	43
mountain_pattern	7	44
mountain_pattern	7	45
mountain_pattern	7	46
mountain_pattern	7	47
has_majority	12	48
sorted_descending	3	49
has_majority	12	50
sorted_ascending	4	51
mountain_pattern	7	52
mountain_pattern	7	53
has_majority	12	54
sorted_descending	3	55
sorted_ascending	4	56
sorted_ascending	4	57
sorted_ascending	4	58
mountain_pattern	7	59
sorted_ascending	4	60
has_majority	12	61
has_majority	12	62
has_majority	12	63
sorted_ascending	4	64
mountain_pattern	7	65
sorted_ascending	4	66
mountain_pattern	7	67
has_majority	12	68
sorted_ascending	4	69
sorted_descending	3	70
sorted_descending	3	71
mountain_pattern	7	72
sorted_ascending	4	73
sorted_ascending	4	74
sorted_ascending	4	75
mountain_pattern	7	76
has_majority	12	77
sorted_descending	3	78
has_majority	12	79
sorted_ascending	4	80
sorted_descending	3	81
mountain_pattern	7	82
mountain_pattern	7	83
sorted_ascending	4	84
mountain_pattern	7	85
sorted_descending	3	86
has_majority	12	87
has_majority	12	88
has_majority	12	89
has_majority	12	90
sorted_descending	3	91
sorted_ascending	4	92
has_majority	12	93
sorted_descending	3	94
sorted_ascending	4	95
sorted_descending	3	96
has_majority	12	97
mountain_pattern	7	98
sorted_ascending	4	99
has_majority	12	100
sorted_ascending	4	101
has_majority	12	102
sorted_ascending	4	103
mountain_pattern	7	104
has_majority	12	105
has_majority	12	106
has_majority	12	107
mountain_pattern	7	108
has_majority	12	109
has_majority	12	110
has_majority	12	111
sorted_descending	3	112
has_majority	12	113
has_majority	12	114
sorted_descending	3	115
sorted_descending	3	116
sorted_descending	3	117
has_majority	12	118
has_majority	12	119
sorted_ascending	4	120
has_majority	12	121
sorted_ascending	4	122
sorted_descending	3	123
has_majority	12	124
mountain_pattern	7	125
has_majority	12	126
mountain_pattern	7	127
mountain_pattern	7	128
has_majority	12	129
sorted_descending	3	130
sorted_descending	3	131
sorted_ascending	4	132
has_majority	12	133
sorted_ascending	4	134
sorted_descending	3	135
has_majority	12	136
mountain_pattern	7	137
sorted_descending	3	138
sorted_descending	3	139
mountain_pattern	7	140
sorted_descending	3	141
has_majority	12	142
has_majority	12	143
sorted_ascending	4	144
sorted_descending	3	145
has_majority	12	146
mountain_pattern	7	147
mountain_pattern	7	148
has_majority	12	149
sorted_descending	3	150
has_majority	12	151
sorted_descending	3	152
mountain_pattern	7	153
sorted_descending	3	154
sorted_descending	3	155
sorted_ascending	4	156
mountain_pattern	7	157
sorted_ascending	4	158
has_majority	12	159
sorted_descending	3	160
has_majority	12	161
sorted_ascending	4	162
sorted_descending	3	163
sorted_ascending	4	164
sorted_ascending	4	165
has_majority	12	166
sorted_ascending	4	167
sorted_ascending	4	168
sorted_descending	3	169
sorted_descending	3	170
has_majority	12	171
sorted_ascending	4	172
mountain_pattern	7	173
mountain_pattern	7	174
has_majority	12	175
sorted_descending	3	176
sorted_descending	3	177
has_majority	12	178
sorted_ascending	4	179
mountain_pattern	7	180
sorted_ascending	4	181
has_majority	12	182
has_majority	12	183
sorted_ascending	4	184
has_majority	12	185
mountain_pattern	7	186
sorted_descending	3	187
sorted_ascending	4	188
mountain_pattern	7	189
has_majority	12	190
mountain_pattern	7	191
has_majority	12	192
sorted_ascending	4	193
sorted_descending	3	194
sorted_ascending	4	195
has_majority	12	196
sorted_ascending	4	197
mountain_pattern	7	198
sorted_descending	3	199
has_majority	12	200
mountain_pattern	7	201
mountain_pattern	7	202
mountain_pattern	7	203
has_majority	12	204
sorted_descending	3	205
sorted_descending	3	206
has_majority	12	207
sorted_ascending	4	208
mountain_pattern	7	209
sorted_descending	3	210
has_majority	12	211
sorted_ascending	4	212
mountain_pattern	7	213
mountain_pattern	7	214
sorted_ascending	4	215
sorted_ascending	4	216
sorted_descending	3	217
has_majority	12	218
mountain_pattern	7	219
mountain_pattern	7	220
sorted_ascending	4	221
has_majority	12	222
mountain_pattern	7	223
has_majority	12	224
sorted_descending	3	225
mountain_pattern	7	226
has_majority	12	227
sorted_ascending	4	228
has_majority	12	229
mountain_pattern	7	230
sorted_ascending	4	231
has_majority	12	232
has_majority	12	233
sorted_ascending	4	234
sorted_descending	3	235
has_majority	12	236
has_majority	12	237
has_majority	12	238
has_majority	12	239
mountain_pattern	7	240
sorted_ascending	4	241
mountain_pattern	7	242
sorted_descending	3	243
mountain_pattern	7	244
has_majority	12	245
sorted_ascending	4	246
sorted_ascending	4	247
mountain_pattern	7	248
mountain_pattern	7	249
sorted_descending	3	250
sorted_ascending	4	251
mountain_pattern	7	252
mountain_pattern	7	253
sorted_ascending	4	254
has_majority	12	255
sorted_ascending	4	256
has_majority	12	257
sorted_descending	3	258
sorted_descending	3	259
sorted_ascending	4	260
sorted_ascending	4	261
sorted_descending	3	262
has_majority	12	263
sorted_descending	3	264
sorted_ascending	4	265
has_majority	12	266
mountain_pattern	7	267
mountain_pattern	7	268
sorted_ascending	4	269
mountain_pattern	7	270
sorted_descending	3	271
has_majority	12	272
sorted_descending	3	273
mountain_pattern	7	274
has_majority	12	275
sorted_ascending	4	276
has_majority	12	277
mountain_pattern	7	278
sorted_ascending	4	279
sorted_ascending	4	280
sorted_ascending	4	281
has_majority	12	282
has_majority	12	283
mountain_pattern	7	284
mountain_pattern	7	285
has_majority	12	286
sorted_ascending	4	287
mountain_pattern	7	288
sorted_descending	3	289
mountain_pattern	7	290
mountain_pattern	7	291
sorted_ascending	4	292
sorted_ascending	4	293
mountain_pattern	7	294
has_majority	12	295
sorted_descending	3	296
sorted_descending	3	297
sorted_ascending	4	298
sorted_ascending	4	299
sorted_descending	3	300
has_majority	12	301
has_majority	12	302
has_majority	12	303
sorted_descending	3	304
has_majority	12	305
mountain_pattern	7	306
has_majority	12	307
mountain_pattern	7	308
sorted_descending	3	309
mountain_pattern	7	310
mountain_pattern	7	311
has_majority	12	312
mountain_pattern	7	313
has_majority	12	314
has_majority	12	315
sorted_ascending	4	316
sorted_descending	3	317
has_majority	12	318
has_majority	12	319
has_majority	12	320
mountain_pattern	7	321
mountain_pattern	7	322
has_majority	12	323
mountain_pattern	7	324
sorted_ascending	4	325
has_majority	12	326
sorted_descending	3	327
mountain_pattern	7	328
sorted_descending	3	329
mountain_pattern	7	330
sorted_descending	3	331
sorted_ascending	4	332
sorted_descending	3	333
mountain_pattern	7	334
mountain_pattern	7	335
sorted_descending	3	336
has_majority	12	337
sorted_ascending	4	338
has_majority	12	339
sorted_descending	3	340
sorted_descending	3	341
sorted_descending	3	342
sorted_descending	3	343
sorted_ascending	4	344
has_majority	12	345
sorted_ascending	4	346
mountain_pattern	7	347
sorted_descending	3	348
sorted_ascending	4	349
sorted_descending	3	350
sorted_descending	3	351
mountain_pattern	7	352
sorted_ascending	4	353
mountain_pattern	7	354
has_majority	12	355
has_majority	12	356
sorted_descending	3	357
sorted_descending	3	358
has_majority	12	359
sorted_ascending	4	360
mountain_pattern	7	361
has_majority	12	362
has_majority	12	363
sorted_descending	3	364
sorted_ascending	4	365
has_majority	12	366
mountain_pattern	7	367
