source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.0002	0.0002	0.0000	-0.0000
sorted_descending	mountain_pattern	0.3933	-0.3219	-0.0626	-0.0564
sorted_descending	has_majority	0.3827	-0.3720	-0.3496	0.0534
sorted_ascending	sorted_descending	0.0010	-0.0048	0.0064	0.0013
sorted_ascending	mountain_pattern	-0.1072	0.1478	-0.0850	-0.0382
sorted_ascending	has_majority	-0.4587	0.3627	-0.0467	-0.2354
mountain_pattern	sorted_descending	-0.0149	-0.0196	0.0068	0.0007
mountain_pattern	sorted_ascending	-0.0013	0.0016	0.0000	-0.0003
mountain_pattern	has_majority	-0.4416	0.3419	-0.0470	-0.2229
has_majority	sorted_descending	-0.1340	-0.2102	0.0001	0.0010
has_majority	sorted_ascending	-0.0000	0.0001	0.0000	-0.0000
has_majority	mountain_pattern	-0.0956	0.0630	0.0208	0.0256
