source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.5428	0.7428	0.4931	-0.1815
sorted_descending	mountain_pattern	-0.6170	0.8169	0.9274	-0.1687
sorted_descending	has_majority	-0.0712	0.0681	-0.4555	0.1753
sorted_ascending	sorted_descending	0.9985	-0.7985	-0.3140	-0.1985
sorted_ascending	mountain_pattern	-0.5138	0.7137	0.9561	-0.1588
sorted_ascending	has_majority	-0.0464	0.0448	-0.4703	0.1551
mountain_pattern	sorted_descending	0.9984	-0.7985	-0.3138	-0.1983
mountain_pattern	sorted_ascending	-0.6639	0.8639	0.5420	-0.1296
mountain_pattern	has_majority	-0.0404	0.0386	-0.4583	0.1675
has_majority	sorted_descending	0.9979	-0.7981	-0.3053	-0.1967
has_majority	sorted_ascending	-0.4724	0.6724	0.4731	-0.2085
has_majority	mountain_pattern	-0.6435	0.8429	0.9058	-0.1700
