source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.7997	0.9998	-0.1717	-0.2055
sorted_descending	mountain_pattern	-0.4256	0.6254	0.9677	-0.1452
sorted_descending	has_majority	-0.0960	0.2630	-0.3261	-0.0555
sorted_ascending	sorted_descending	0.9967	-0.7948	-0.3502	-0.0067
sorted_ascending	mountain_pattern	-0.4152	0.6142	0.9783	-0.1337
sorted_ascending	has_majority	-0.1347	0.2962	-0.3379	-0.0644
mountain_pattern	sorted_descending	0.9959	-0.7938	-0.3478	-0.0074
mountain_pattern	sorted_ascending	-0.7996	0.9996	-0.1678	-0.2059
mountain_pattern	has_majority	-0.1403	0.3043	-0.3329	-0.0728
has_majority	sorted_descending	0.9968	-0.7946	-0.3482	-0.0098
has_majority	sorted_ascending	-0.7996	0.9995	-0.1761	-0.2053
has_majority	mountain_pattern	-0.4177	0.6164	0.9743	-0.1423
