source	target	resp_sorted_descending	resp_sorted_ascending	resp_mountain_pattern	resp_has_majority
sorted_descending	sorted_ascending	-0.0452	0.1359	-0.0390	0.1573
sorted_descending	mountain_pattern	-0.1591	0.1655	-0.1339	-0.1791
sorted_descending	has_majority	0.0124	-0.0148	0.0044	-0.0253
sorted_ascending	sorted_descending	-0.0094	-0.0093	-0.0036	-0.0000
sorted_ascending	mountain_pattern	-0.3201	0.3340	-0.2101	-0.2846
sorted_ascending	has_majority	0.0176	-0.0182	-0.0060	-0.0226
mountain_pattern	sorted_descending	-0.0094	-0.0093	-0.0035	0.0000
mountain_pattern	sorted_ascending	-0.1109	0.2885	-0.1103	0.0246
mountain_pattern	has_majority	0.0166	-0.0174	-0.0052	-0.0227
has_majority	sorted_descending	-0.0087	-0.0086	-0.0136	0.0033
has_majority	sorted_ascending	-0.1507	0.3326	-0.1714	-0.0019
has_majority	mountain_pattern	-0.4724	0.5249	-0.1876	-0.3549
