source	target	resp_palindrome	resp_alternating	resp_sorted_descending	resp_sorted_ascending	resp_decreasing_pairs	resp_mountain_pattern	resp_increasing_pairs	resp_first_last_match	resp_no_repeats	resp_has_majority
palindrome	alternating	-0.1563	-0.1264	-0.5734	0.7170	-0.4340	-0.1906	0.5858	-0.2059	-0.1410	-0.2829
palindrome	sorted_descending	-0.1646	-0.1011	-0.5597	0.7000	-0.4289	-0.1951	0.5685	-0.1669	-0.1459	-0.2768
palindrome	sorted_ascending	-0.1647	-0.1104	-0.5652	0.7086	-0.4298	-0.1774	0.5747	-0.2132	-0.1484	-0.2821
palindrome	decreasing_pairs	0.0190	-0.0425	0.5960	-0.4740	0.4094	-0.0882	-0.4400	0.1201	0.1165	0.1382
palindrome	mountain_pattern	-0.1741	-0.0705	-0.5905	0.7298	-0.4811	-0.2258	0.5933	-0.1244	-0.1421	-0.2728
palindrome	increasing_pairs	-0.1657	-0.0699	-0.5842	0.7211	-0.4929	-0.2068	0.6024	-0.0816	-0.1258	-0.2851
palindrome	first_last_match	0.0107	0.0054	-0.1636	0.1692	-0.1846	-0.0022	0.1039	-0.0022	-0.0720	-0.0201
palindrome	no_repeats	-0.1496	-0.0265	-0.5962	0.7300	-0.5292	-0.1710	0.6043	-0.0886	-0.1333	-0.2668
palindrome	has_majority	0.0076	0.0787	-0.1746	0.2408	-0.2210	-0.0611	0.2004	-0.0106	-0.0770	-0.0647
alternating	palindrome	-0.1584	-0.0722	-0.5835	0.7237	-0.4899	-0.2023	0.6191	-0.1027	-0.1194	-0.2837
alternating	sorted_descending	-0.1708	-0.0980	-0.5722	0.7162	-0.4392	-0.2036	0.5837	-0.1933	-0.1485	-0.2800
alternating	sorted_ascending	-0.1661	-0.1130	-0.5723	0.7187	-0.4359	-0.1756	0.5849	-0.2379	-0.1519	-0.2857
alternating	decreasing_pairs	0.0191	-0.0463	0.6743	-0.5334	0.4901	-0.1739	-0.5122	0.1288	0.2186	0.1644
alternating	mountain_pattern	-0.1780	-0.0489	-0.6052	0.7410	-0.5119	-0.2342	0.5995	-0.1265	-0.1400	-0.2675
alternating	increasing_pairs	-0.0899	0.0406	-0.4579	0.5542	-0.4379	-0.1993	0.4857	-0.0764	-0.0552	-0.1828
alternating	first_last_match	-0.0026	-0.0155	0.0965	-0.0659	0.0583	-0.0060	-0.0629	0.0159	-0.0153	0.0104
alternating	no_repeats	-0.1121	0.0546	-0.6043	0.7297	-0.5798	-0.1445	0.6085	-0.0670	-0.1303	-0.2486
alternating	has_majority	0.0114	0.0259	0.4132	-0.2916	0.2588	-0.1049	-0.2414	0.0530	0.0579	0.0769
sorted_descending	palindrome	-0.1636	-0.0890	-0.5832	0.7257	-0.4731	-0.2192	0.6154	-0.1030	-0.1286	-0.2853
sorted_descending	alternating	-0.1792	-0.0854	-0.5884	0.7314	-0.4472	-0.2151	0.6259	-0.1648	-0.1300	-0.2820
sorted_descending	sorted_ascending	-0.1714	-0.1052	-0.5738	0.7198	-0.4361	-0.1868	0.5819	-0.2143	-0.1549	-0.2870
sorted_descending	decreasing_pairs	-0.0046	-0.0433	0.5556	-0.4375	0.4109	-0.1087	-0.3931	0.0726	0.1013	0.0980
sorted_descending	mountain_pattern	-0.1817	-0.0664	-0.6034	0.7409	-0.4965	-0.2379	0.6015	-0.1294	-0.1465	-0.2755
sorted_descending	increasing_pairs	-0.1516	-0.0180	-0.5699	0.6832	-0.5083	-0.2098	0.5744	-0.0727	-0.0711	-0.2496
sorted_descending	first_last_match	0.0178	0.0124	-0.1087	0.1282	-0.1474	-0.0106	0.0635	0.0098	-0.0758	-0.0089
sorted_descending	no_repeats	-0.1538	-0.0177	-0.6063	0.7378	-0.5401	-0.2034	0.6083	-0.0900	-0.1283	-0.2668
sorted_descending	has_majority	0.0070	0.0840	-0.2233	0.2776	-0.2689	-0.0950	0.2147	-0.0111	-0.0666	-0.0736
sorted_ascending	palindrome	-0.1601	-0.0961	-0.5770	0.7182	-0.4681	-0.2013	0.5979	-0.0972	-0.1338	-0.2829
sorted_ascending	alternating	-0.1617	-0.1303	-0.5792	0.7244	-0.4389	-0.2119	0.5912	-0.1893	-0.1425	-0.2847
sorted_ascending	sorted_descending	-0.1732	-0.0973	-0.5684	0.7096	-0.4349	-0.2049	0.5735	-0.1593	-0.1469	-0.2800
sorted_ascending	decreasing_pairs	0.0182	-0.0476	0.6732	-0.5368	0.4651	-0.1309	-0.5033	0.1330	0.1755	0.1696
sorted_ascending	mountain_pattern	-0.1803	-0.0687	-0.5978	0.7355	-0.4882	-0.2266	0.5874	-0.1230	-0.1455	-0.2739
sorted_ascending	increasing_pairs	-0.1690	-0.0456	-0.5972	0.7322	-0.5209	-0.1949	0.5993	-0.0690	-0.1373	-0.2829
sorted_ascending	first_last_match	0.0121	0.0085	-0.1937	0.2062	-0.2252	-0.0015	0.1281	-0.0002	-0.0780	-0.0215
sorted_ascending	no_repeats	-0.1567	-0.0204	-0.6063	0.7417	-0.5429	-0.1748	0.6015	-0.0781	-0.1478	-0.2702
sorted_ascending	has_majority	0.0186	0.1029	-0.3401	0.4156	-0.3919	-0.0529	0.3357	-0.0150	-0.0914	-0.0771
decreasing_pairs	palindrome	-0.1357	-0.0472	-0.5445	0.6686	-0.4617	-0.1955	0.6134	-0.1110	-0.0614	-0.2611
decreasing_pairs	alternating	-0.0880	0.0008	-0.2882	0.4072	-0.1712	-0.2335	0.3976	-0.1290	-0.0430	-0.1903
decreasing_pairs	sorted_descending	-0.1689	-0.1085	-0.5638	0.7074	-0.4294	-0.2103	0.5874	-0.1936	-0.1460	-0.2767
decreasing_pairs	sorted_ascending	-0.1584	-0.1231	-0.5666	0.7123	-0.4301	-0.1759	0.5809	-0.2409	-0.1530	-0.2839
decreasing_pairs	mountain_pattern	-0.1649	-0.0344	-0.5751	0.7139	-0.4982	-0.2328	0.6269	-0.1150	-0.1096	-0.2591
decreasing_pairs	increasing_pairs	-0.0865	0.0231	-0.1385	0.2455	-0.1430	-0.2104	0.2492	-0.0480	0.0066	-0.1285
decreasing_pairs	first_last_match	0.0066	-0.0188	0.2538	-0.1882	0.1598	-0.0275	-0.1787	0.0425	0.0090	0.0533
decreasing_pairs	no_repeats	-0.0907	0.0555	-0.5005	0.6113	-0.4883	-0.1614	0.5482	-0.0641	-0.0520	-0.1952
decreasing_pairs	has_majority	-0.0047	0.0156	0.3858	-0.2703	0.2604	-0.1435	-0.2132	0.0326	0.1022	0.0661
mountain_pattern	palindrome	-0.1651	-0.0903	-0.5894	0.7352	-0.4795	-0.2222	0.6070	-0.0893	-0.1428	-0.2868
mountain_pattern	alternating	-0.1610	-0.1207	-0.5843	0.7318	-0.4469	-0.2188	0.6098	-0.1880	-0.1395	-0.2776
mountain_pattern	sorted_descending	-0.1761	-0.0891	-0.5769	0.7201	-0.4426	-0.2134	0.5794	-0.1634	-0.1494	-0.2828
mountain_pattern	sorted_ascending	-0.1728	-0.1016	-0.5754	0.7212	-0.4369	-0.1905	0.5833	-0.2052	-0.1509	-0.2862
mountain_pattern	decreasing_pairs	0.0144	-0.0420	0.6510	-0.5138	0.4523	-0.1016	-0.4910	0.1357	0.1459	0.1552
mountain_pattern	increasing_pairs	-0.1693	-0.0383	-0.6095	0.7490	-0.5387	-0.2180	0.6042	-0.0684	-0.1414	-0.2810
mountain_pattern	first_last_match	0.0126	0.0116	-0.2016	0.2079	-0.2178	-0.0025	0.1287	-0.0001	-0.0704	-0.0229
mountain_pattern	no_repeats	-0.1627	-0.0287	-0.6152	0.7562	-0.5499	-0.2027	0.6055	-0.0782	-0.1534	-0.2762
mountain_pattern	has_majority	0.0088	0.0784	-0.2894	0.3694	-0.3596	-0.0643	0.2880	-0.0063	-0.0938	-0.0773
increasing_pairs	palindrome	-0.1534	-0.0774	-0.5623	0.6981	-0.4747	-0.1948	0.5976	-0.0948	-0.1174	-0.2774
increasing_pairs	alternating	-0.1749	-0.1238	-0.5798	0.7227	-0.4400	-0.2226	0.5973	-0.2212	-0.1340	-0.2838
increasing_pairs	sorted_descending	-0.1686	-0.1045	-0.5613	0.7030	-0.4253	-0.2185	0.5690	-0.1531	-0.1479	-0.2787
increasing_pairs	sorted_ascending	-0.1634	-0.1187	-0.5685	0.7132	-0.4288	-0.1890	0.5767	-0.2149	-0.1513	-0.2847
increasing_pairs	decreasing_pairs	0.0123	-0.0697	0.7103	-0.5670	0.5194	-0.2439	-0.5133	0.1074	0.2625	0.1572
increasing_pairs	mountain_pattern	-0.1773	-0.0562	-0.5842	0.7244	-0.4867	-0.2324	0.5909	-0.1063	-0.1409	-0.2696
increasing_pairs	first_last_match	0.0093	0.0025	0.0579	-0.0063	-0.0133	-0.0181	-0.0137	0.0157	-0.0456	0.0047
increasing_pairs	no_repeats	-0.1313	0.0422	-0.5864	0.7186	-0.5572	-0.1528	0.6033	-0.0628	-0.1394	-0.2612
