source	target	resp_palindrome	resp_alternating	resp_sorted_descending	resp_sorted_ascending	resp_decreasing_pairs	resp_mountain_pattern	resp_increasing_pairs	resp_first_last_match	resp_no_repeats	resp_has_majority
palindrome	alternating	0.0167	-0.0143	0.2128	-0.1679	0.1998	-0.0836	-0.1576	0.0272	0.0852	-0.0008
palindrome	sorted_descending	0.0248	-0.0730	0.4144	-0.2983	0.4373	-0.1647	-0.3354	0.0669	0.1930	-0.0169
palindrome	sorted_ascending	-0.0575	-0.0024	-0.7326	0.6307	-0.7041	0.2898	0.4843	-0.0498	-0.1930	-0.1541
palindrome	decreasing_pairs	0.0510	-0.1693	0.7176	-0.5785	0.6373	-0.3644	-0.5197	0.0515	0.2871	0.1816
palindrome	mountain_pattern	0.0121	0.0195	-0.2975	0.2968	-0.2947	0.0307	0.1853	-0.0123	-0.0941	-0.0187
palindrome	increasing_pairs	0.0255	0.0186	-0.1388	0.1540	-0.2237	0.1062	0.0731	0.0262	-0.1496	-0.0161
palindrome	first_last_match	0.0266	-0.0150	0.3511	-0.2777	0.2972	-0.1238	-0.2839	0.0506	0.1206	0.0551
palindrome	no_repeats	0.0767	-0.0010	0.0914	-0.0453	-0.0062	0.0202	-0.1565	0.0781	0.0047	0.0969
palindrome	has_majority	-0.0038	-0.0151	0.0167	-0.0149	0.0014	-0.0117	-0.0263	0.0039	-0.0349	0.0034
alternating	palindrome	-0.0099	-0.0821	0.5354	-0.4307	0.4687	-0.3231	-0.4898	0.0585	0.2109	0.1833
alternating	sorted_descending	0.0278	-0.0722	0.4072	-0.2947	0.4247	-0.1613	-0.3273	0.0656	0.1885	-0.0166
alternating	sorted_ascending	-0.0642	-0.0140	-0.7314	0.6269	-0.6962	0.2867	0.4832	-0.0534	-0.1889	-0.1550
alternating	decreasing_pairs	0.0511	-0.1669	0.7133	-0.5748	0.6366	-0.3598	-0.5151	0.0517	0.2861	0.1745
alternating	mountain_pattern	0.0130	0.0209	-0.3151	0.3110	-0.3105	0.0299	0.1953	-0.0137	-0.0987	-0.0208
alternating	increasing_pairs	0.0223	0.0141	-0.1326	0.1479	-0.2127	0.0977	0.0722	0.0241	-0.1445	-0.0196
alternating	first_last_match	0.0288	-0.0117	0.3265	-0.2590	0.2779	-0.1162	-0.2631	0.0470	0.1085	0.0540
alternating	no_repeats	0.0753	0.0023	0.0753	-0.0344	-0.0188	0.0202	-0.1409	0.0701	-0.0015	0.0920
alternating	has_majority	-0.0037	-0.0155	0.0118	-0.0105	-0.0033	-0.0122	-0.0242	0.0039	-0.0365	0.0031
sorted_descending	palindrome	-0.0075	-0.0794	0.5245	-0.4242	0.4563	-0.3149	-0.4837	0.0576	0.2026	0.1853
sorted_descending	alternating	0.0174	-0.0106	0.1819	-0.1418	0.1704	-0.0753	-0.1435	0.0246	0.0752	0.0040
sorted_descending	sorted_ascending	-0.0692	-0.0180	-0.7284	0.6266	-0.6961	0.2827	0.4826	-0.0545	-0.1858	-0.1568
sorted_descending	decreasing_pairs	0.0498	-0.1653	0.7110	-0.5732	0.6326	-0.3602	-0.5154	0.0511	0.2850	0.1750
sorted_descending	mountain_pattern	0.0124	0.0205	-0.3020	0.2995	-0.2987	0.0274	0.1875	-0.0131	-0.0958	-0.0192
sorted_descending	increasing_pairs	0.0218	0.0139	-0.1405	0.1569	-0.2217	0.0989	0.0788	0.0237	-0.1426	-0.0209
sorted_descending	first_last_match	0.0279	-0.0134	0.3271	-0.2588	0.2765	-0.1147	-0.2685	0.0502	0.1064	0.0584
sorted_descending	no_repeats	0.0740	0.0005	0.0831	-0.0399	-0.0123	0.0180	-0.1464	0.0725	0.0005	0.0926
sorted_descending	has_majority	-0.0036	-0.0143	0.0124	-0.0107	-0.0017	-0.0109	-0.0223	0.0036	-0.0318	0.0029
sorted_ascending	palindrome	-0.0096	-0.0809	0.5307	-0.4242	0.4674	-0.3248	-0.4880	0.0584	0.2103	0.1789
sorted_ascending	alternating	0.0180	-0.0109	0.1984	-0.1567	0.1861	-0.0781	-0.1463	0.0250	0.0779	-0.0005
sorted_ascending	sorted_descending	0.0239	-0.0664	0.4090	-0.2972	0.4242	-0.1567	-0.3224	0.0619	0.1884	-0.0238
sorted_ascending	decreasing_pairs	0.0524	-0.1651	0.7159	-0.5764	0.6368	-0.3621	-0.5176	0.0542	0.2866	0.1769
sorted_ascending	mountain_pattern	0.0116	0.0179	-0.3028	0.3004	-0.2990	0.0286	0.1866	-0.0125	-0.0948	-0.0194
sorted_ascending	increasing_pairs	0.0243	0.0165	-0.1371	0.1561	-0.2217	0.1032	0.0767	0.0255	-0.1429	-0.0175
sorted_ascending	first_last_match	0.0277	-0.0137	0.3390	-0.2685	0.2867	-0.1213	-0.2754	0.0506	0.1121	0.0573
sorted_ascending	no_repeats	0.0757	-0.0002	0.0927	-0.0491	-0.0003	0.0198	-0.1561	0.0746	0.0088	0.0947
sorted_ascending	has_majority	-0.0040	-0.0156	0.0153	-0.0135	0.0001	-0.0122	-0.0256	0.0039	-0.0349	0.0031
decreasing_pairs	palindrome	-0.0062	-0.0784	0.5025	-0.4060	0.4323	-0.3100	-0.4696	0.0571	0.1917	0.1851
decreasing_pairs	alternating	0.0241	0.0011	0.1277	-0.1004	0.1166	-0.0580	-0.0947	0.0176	0.0452	0.0040
decreasing_pairs	sorted_descending	0.0231	-0.0632	0.3553	-0.2514	0.3729	-0.1433	-0.2814	0.0545	0.1619	-0.0232
decreasing_pairs	sorted_ascending	-0.0714	-0.0229	-0.7320	0.6237	-0.6902	0.2811	0.4826	-0.0581	-0.1848	-0.1573
decreasing_pairs	mountain_pattern	0.0138	0.0231	-0.3106	0.3055	-0.3065	0.0304	0.1922	-0.0137	-0.0990	-0.0192
decreasing_pairs	increasing_pairs	0.0201	0.0125	-0.1417	0.1564	-0.2184	0.0985	0.0817	0.0221	-0.1388	-0.0237
decreasing_pairs	first_last_match	0.0287	-0.0119	0.3178	-0.2521	0.2698	-0.1111	-0.2582	0.0476	0.1033	0.0552
decreasing_pairs	no_repeats	0.0754	0.0050	0.0615	-0.0235	-0.0330	0.0239	-0.1289	0.0664	-0.0078	0.0883
decreasing_pairs	has_majority	-0.0033	-0.0138	0.0107	-0.0093	-0.0031	-0.0108	-0.0209	0.0035	-0.0311	0.0027
mountain_pattern	palindrome	-0.0098	-0.0811	0.5255	-0.4217	0.4614	-0.3242	-0.4840	0.0573	0.2065	0.1787
mountain_pattern	alternating	0.0188	-0.0114	0.1949	-0.1548	0.1835	-0.0767	-0.1394	0.0265	0.0745	-0.0012
mountain_pattern	sorted_descending	0.0275	-0.0692	0.4075	-0.2960	0.4224	-0.1588	-0.3248	0.0650	0.1893	-0.0174
mountain_pattern	sorted_ascending	-0.0592	-0.0074	-0.7302	0.6272	-0.6977	0.2877	0.4826	-0.0512	-0.1916	-0.1535
mountain_pattern	decreasing_pairs	0.0511	-0.1674	0.7137	-0.5747	0.6371	-0.3599	-0.5148	0.0522	0.2860	0.1747
mountain_pattern	increasing_pairs	0.0238	0.0163	-0.1286	0.1459	-0.2093	0.0972	0.0684	0.0247	-0.1408	-0.0141
mountain_pattern	first_last_match	0.0277	-0.0126	0.3372	-0.2673	0.2872	-0.1229	-0.2719	0.0484	0.1151	0.0530
mountain_pattern	no_repeats	0.0739	-0.0001	0.0886	-0.0457	-0.0034	0.0212	-0.1503	0.0723	0.0059	0.0926
mountain_pattern	has_majority	-0.0037	-0.0156	0.0119	-0.0108	-0.0032	-0.0128	-0.0246	0.0038	-0.0376	0.0029
increasing_pairs	palindrome	-0.0078	-0.0811	0.4962	-0.3923	0.4373	-0.3154	-0.4663	0.0596	0.1980	0.1706
increasing_pairs	alternating	0.0232	-0.0024	0.1429	-0.1134	0.1351	-0.0600	-0.1030	0.0195	0.0525	0.0001
increasing_pairs	sorted_descending	0.0283	-0.0642	0.3793	-0.2748	0.3902	-0.1476	-0.2953	0.0596	0.1720	-0.0181
increasing_pairs	sorted_ascending	-0.0712	-0.0265	-0.7261	0.6246	-0.6884	0.2843	0.4828	-0.0543	-0.1836	-0.1580
increasing_pairs	decreasing_pairs	0.0515	-0.1671	0.7089	-0.5707	0.6347	-0.3561	-0.5107	0.0530	0.2846	0.1700
increasing_pairs	mountain_pattern	0.0126	0.0203	-0.3181	0.3138	-0.3137	0.0323	0.1968	-0.0136	-0.0990	-0.0211
increasing_pairs	first_last_match	0.0308	-0.0085	0.3111	-0.2469	0.2650	-0.1117	-0.2499	0.0450	0.1012	0.0530
increasing_pairs	no_repeats	0.0746	0.0041	0.0667	-0.0293	-0.0237	0.0261	-0.1314	0.0651	-0.0028	0.0876
increasing_pairs	has_majority	-0.0039	-0.0165	0.0088	-0.0077	-0.0069	-0.0125	-0.0231	0.0040	-0.0385	0.0028
first_last_match	palindrome	-0.0096	-0.0794	0.5188	-0.4171	0.4513	-0.3206	-0.4813	0.0565	0.2013	0.1843
first_last_match	alternating	0.0193	-0.0087	0.1777	-0.1399	0.1659	-0.0733	-0.1331	0.0236	0.0692	0.0025
first_last_match	sorted_descending	0.0260	-0.0655	0.3874	-0.2789	0.4019	-0.1541	-0.3094	0.0613	0.1784	-0.0195
first_last_match	sorted_ascending	-0.0601	-0.0045	-0.7322	0.6265	-0.7018	0.2863	0.4821	-0.0519	-0.1918	-0.1549
first_last_match	decreasing_pairs	0.0486	-0.1648	0.7109	-0.5735	0.6321	-0.3611	-0.5157	0.0496	0.2849	0.1767
first_last_match	mountain_pattern	0.0120	0.0201	-0.2954	0.2928	-0.2915	0.0282	0.1827	-0.0125	-0.0936	-0.0186
first_last_match	increasing_pairs	0.0236	0.0151	-0.1320	0.1487	-0.2141	0.1008	0.0719	0.0258	-0.1405	-0.0186
first_last_match	no_repeats	0.0753	0.0009	0.0783	-0.0360	-0.0173	0.0241	-0.1435	0.0725	-0.0012	0.0922
first_last_match	has_majority	-0.0036	-0.0151	0.0159	-0.0143	0.0004	-0.0124	-0.0259	0.0039	-0.0349	0.0034
no_repeats	palindrome	-0.0063	-0.0752	0.5111	-0.4134	0.4391	-0.3164	-0.4792	0.0572	0.1929	0.1902
no_repeats	alternating	0.0201	-0.0093	0.1896	-0.1499	0.1763	-0.0767	-0.1385	0.0254	0.0727	0.0008
no_repeats	sorted_descending	0.0257	-0.0652	0.3878	-0.2781	0.4047	-0.1537	-0.3077	0.0594	0.1782	-0.0221
no_repeats	sorted_ascending	-0.0556	0.0010	-0.7375	0.6289	-0.7043	0.2899	0.4836	-0.0513	-0.1948	-0.1535
no_repeats	decreasing_pairs	0.0485	-0.1688	0.7145	-0.5763	0.6347	-0.3637	-0.5184	0.0493	0.2859	0.1811
no_repeats	mountain_pattern	0.0125	0.0203	-0.2937	0.2913	-0.2897	0.0298	0.1807	-0.0119	-0.0940	-0.0176
no_repeats	increasing_pairs	0.0249	0.0173	-0.1360	0.1536	-0.2201	0.1069	0.0746	0.0265	-0.1445	-0.0179
no_repeats	first_last_match	0.0255	-0.0170	0.3499	-0.2771	0.2962	-0.1237	-0.2857	0.0521	0.1190	0.0568
no_repeats	has_majority	-0.0035	-0.0150	0.0180	-0.0169	0.0026	-0.0124	-0.0280	0.0039	-0.0366	0.0036
has_majority	palindrome	-0.0077	-0.0813	0.5481	-0.4434	0.4792	-0.3219	-0.4975	0.0597	0.2145	0.1874
has_majority	alternating	0.0140	-0.0163	0.2150	-0.1690	0.2022	-0.0842	-0.1656	0.0281	0.0906	0.0014
has_majority	sorted_descending	0.0262	-0.0708	0.4067	-0.2926	0.4292	-0.1628	-0.3286	0.0674	0.1878	-0.0148
has_majority	sorted_ascending	-0.0679	-0.0199	-0.7292	0.6299	-0.6945	0.2876	0.4849	-0.0524	-0.1864	-0.1566
has_majority	decreasing_pairs	0.0535	-0.1692	0.7167	-0.5770	0.6394	-0.3611	-0.5167	0.0544	0.2871	0.1762
has_majority	mountain_pattern	0.0133	0.0200	-0.3184	0.3159	-0.3152	0.0307	0.1973	-0.0132	-0.1002	-0.0205
has_majority	increasing_pairs	0.0238	0.0169	-0.1451	0.1596	-0.2268	0.1012	0.0779	0.0238	-0.1500	-0.0172
has_majority	first_last_match	0.0280	-0.0130	0.3373	-0.2665	0.2857	-0.1177	-0.2740	0.0490	0.1139	0.0555
has_majority	no_repeats	0.0769	0.0021	0.0797	-0.0375	-0.0168	0.0187	-0.1475	0.0742	0.0005	0.0951
