source	palindrome	alternating	sorted_descending	sorted_ascending	decreasing_pairs	mountain_pattern	increasing_pairs	first_last_match	no_repeats	has_majority
palindrome	-	0.167	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000
alternating	0.000	-	1.000	1.000	1.000	1.000	1.000	1.000	0.571	1.000
sorted_descending	0.200	0.400	-	1.000	1.000	1.000	1.000	1.000	0.600	1.000
sorted_ascending	0.059	0.176	1.000	-	1.000	1.000	1.000	1.000	0.824	1.000
decreasing_pairs	0.167	0.500	1.000	1.000	-	1.000	1.000	1.000	0.167	1.000
mountain_pattern	0.167	0.167	1.000	1.000	1.000	-	1.000	1.000	0.667	1.000
increasing_pairs	0.222	0.556	1.000	1.000	1.000	1.000	-	1.000	0.222	1.000
first_last_match	0.077	0.308	1.000	1.000	1.000	1.000	1.000	-	0.538	1.000
no_repeats	0.250	0.333	1.000	1.000	1.000	1.000	1.000	1.000	-	1.000
has_majority	0.000	0.143	1.000	1.000	1.000	1.000	1.000	1.000	0.429	-
