source	target	resp_palindrome	resp_alternating	resp_sorted_descending	resp_sorted_ascending	resp_decreasing_pairs	resp_mountain_pattern	resp_increasing_pairs	resp_first_last_match	resp_no_repeats	resp_has_majority
palindrome	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
palindrome	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
palindrome	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
palindrome	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
palindrome	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
palindrome	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
palindrome	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
palindrome	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
palindrome	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
alternating	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
alternating	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
alternating	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
alternating	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
alternating	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
alternating	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
alternating	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
alternating	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
alternating	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
sorted_descending	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
sorted_descending	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
sorted_descending	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
sorted_descending	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
sorted_descending	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
sorted_descending	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
sorted_descending	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
sorted_descending	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
sorted_descending	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
sorted_ascending	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
sorted_ascending	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
sorted_ascending	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
sorted_ascending	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
sorted_ascending	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
sorted_ascending	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
sorted_ascending	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
sorted_ascending	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
sorted_ascending	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
decreasing_pairs	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
decreasing_pairs	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
decreasing_pairs	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
decreasing_pairs	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
decreasing_pairs	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
decreasing_pairs	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
decreasing_pairs	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
decreasing_pairs	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
decreasing_pairs	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
mountain_pattern	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
mountain_pattern	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
mountain_pattern	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
mountain_pattern	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
mountain_pattern	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
mountain_pattern	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
mountain_pattern	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
mountain_pattern	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
mountain_pattern	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
increasing_pairs	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
increasing_pairs	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
increasing_pairs	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
increasing_pairs	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
increasing_pairs	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
